ID,Formula,Compound Name,A,B,C,TMIN (K),TMAX (K)
148,C4H8BR2,"1,2-dibromobutane",7.25696,1759.076,-38.141,281.15,439.15
149,C4H8BR2,"2,3-dibromobutane",7.20023,1691.481,-42.927,278.15,434.15
150,C4H8I2,"1,2-diiodobutane",6.2433,1507.41,-28.45,383.15,519.15
151,C4H8O,butyraldehyde,7.0212,1233.0,-50.14,255.15,380.15
152,C4H8O,2-butanone,7.2087,1368.21,-36.64,257.15,376.15
153,C4H8O2,p-dioxane,7.0063,1288.5,-62.14,275.15,410.15
154,C4H8O2,ethyl-acetate,7.0146,1211.9,-57.14,260.15,385.15
155,C4H8S,thiacyclopentane,6.9954,1401.939,-53.543,287.15,420.15
156,C4H9BR,1-bromobutane,6.92254,1298.608,-53.45,292.15,414.15
157,C4H9BR,2-bromobutane,6.82724,1229.08,-53.15,283.15,419.15
158,C4H9BR,2-bromo-2-methylpropane,6.6685,1129.7,-48.15,266.15,383.15
159,C4H9CL,1-chlorobutane,6.9379,1227.43,-49.04,255.15,385.15
160,C4H9CL,2-chlorobutane,6.9447,1195.8,-47.14,250.15,375.15
161,C4H9CL,1-chloro-2-methylpropane,6.95304,1205.079,-46.104,219.15,342.15
162,C4H9CL,2-chloro-2-methylpropane,6.8671,1114.9,-44.14,235.15,360.15
163,C4H9I,2-iodo-2-methylpropane,7.2539,1507.41,-28.45,315.15,397.15
164,C4H9N,pyrrolidine,6.9246,1179.99,-67.89,300.15,400.15
165,C4H9NO2,1-nitrobutane,6.86715,1467.45,-57.92,359.15,455.15
166,C4H9NO2,2-nitrobutane,7.25197,1664.03,-32.16,348.15,440.15
167,C4H10,nc4,6.80896,935.86,-34.42,195.15,292.15
168,C4H10,ic4,6.91048,946.35,-26.47,186.15,280.15
169,C4H10O,ethyl-ether,6.92032,1064.07,-44.35,212.15,293.15
170,C4H10O,methyl-propyl-ether,6.1186,708.69,-93.25,273.15,312.15
171,C4H10O,methyl-isopropyl-ether,6.24495,708.69,-93.25,261.15,324.15
172,C4H10O,butyl-alcohol,7.4768,1362.39,-94.42,288.15,404.15
173,C4H10O,sec-butyl-alcohol,7.4743,1314.19,-86.64,298.15,393.15
174,C4H10O,tert-butyl-alcohol,7.3199,1154.48,-95.49,293.15,376.15
175,C4H10S,ethylsulfide,6.92836,1257.833,-54.488,267.15,390.15
176,C4H10S,isopropyl-methyl-sulfide,6.90196,1232.17,-51.48,260.15,382.15
177,C4H10S,methyl-propyl-sulfide,6.95545,1284.32,-53.49,269.15,393.15
178,C4H10S,1-butanethiol,6.92754,1281.018,-55.05,271.15,396.15
179,C4H10S,2-butanethiol,6.88698,1229.904,-51.129,260.15,382.15
180,C4H10S,2-methyl-1-propanethiol,6.88746,1237.282,-52.837,263.15,386.15
181,C4H10S,2-methyl-2-propanethiol,6.78781,1115.565,-51.836,274.15,360.15
182,C4H10S2,ethyl-disulfide,6.97507,1485.97,-64.192,313.15,455.15
183,C4H11N,butylamine,7.213,1308.4,-48.95,259.15,373.15
184,C4H11N,sec-butylamine,7.15069,1238.3,-46.15,264.15,371.15
185,C4H11N,tert-butylamine,6.78309,993.262,-62.657,292.15,348.15
186,C4H11N,diethylamine,6.9724,1127.0,-53.14,242.15,350.15
187,C5H5N,pyridine,6.9882,1344.2,-61.14,285.15,425.15
188,C5H6S,2-methylthiophene,6.93897,1326.48,-58.84,282.15,411.15
189,C5H6S,3-methylthiophene,6.98611,1363.84,-56.37,284.15,414.15
190,C5H8,"1,2-pentadiene",6.9182,1104.991,-44.299,253.15,339.15
191,C5H8,"1,3-pentadiene,cis",6.91089,1101.923,-43.783,256.15,338.15
192,C5H8,"1,3-pentadiene,trans",6.91317,1103.84,-41.426,257.15,336.15
193,C5H8,"1,4-pentadiene",6.83543,1017.995,-41.689,240.15,319.15
194,C5H8,"2,3-pentadiene",6.96216,1126.837,-45.309,260.15,342.15
195,C5H8,"3-methyl-1,2-butadiene",6.9435,1103.901,-42.26,253.15,335.15
196,C5H8,"2-methyl-1,3-butadiene",6.88564,1071.578,-39.637,255.15,328.15
197,C5H8,1-pentyne,6.9673,1092.52,-45.96,230.15,335.15
198,C5H8,2-pentyne,7.04614,1189.87,-43.55,240.15,351.15
199,C5H8,3-methyl-1-butyne,6.8848,1014.81,-46.04,218.15,320.15
200,C5H8,cyclopentene,6.9207,1121.81,-39.69,244.15,378.15
201,C5H8,spiropentane,6.917,1090.08,-42.05,276.15,344.15
202,C5H10,1-pentene,6.8465,1044.895,-39.634,218.15,324.15
203,C5H10,"2-pentene,cis",6.87274,1067.951,-42.565,224.15,331.15
204,C5H10,"2-pentene,trans",6.90575,1083.987,-40.185,224.15,331.15
205,C5H10,2-methyl-1-butene,6.87314,1053.78,-40.362,220.15,325.15
206,C5H10,3-methyl-1-butene,6.82618,1013.474,-36.334,210.15,314.15
207,C5H10,2-methyl-2-butene,6.91562,1095.088,-40.308,225.15,333.15
208,C5H10,cyclopentane,6.88676,1124.162,-41.789,233.15,345.15
209,C5H10BR2,"2,3-dibromo-2-methylbutane",7.36735,1695.9,-66.15,354.15,491.15
210,C5H10O,valeraldehyde,7.0192,1316.0,-58.14,277.15,412.15
211,C5H10O,2-pentanone,6.95,1274.6,-62.24,275.15,410.15
212,C5H10S,thiacyclohexane,6.90518,1422.47,-61.43,302.15,443.15
213,C5H10S,cyclopentanethiol,6.91497,1388.63,-61.1,354.15,446.15
214,C5H11BR,1-bromopentane,6.9558,1401.634,-58.77,314.15,446.15
215,C5H11CL,1-chloropentane,6.96617,1332.89,-54.65,297.15,421.15
216,C5H11CL,1-chloro-3-methylbutane,6.79527,1258.5,-50.15,312.15,397.15
217,C5H11CL,2-chloro-2-methylbutane,6.95902,1258.5,-50.15,280.15,396.15
218,C5H12,c5,6.87632,1075.78,-39.945,223.15,331.15
219,C5H12,ic5,6.83315,1040.73,-37.705,216.15,322.15
220,C5H12,"2,2-dimethypropane",6.60427,883.42,-45.368,260.15,302.15
221,C5H12O,methyl-tert-butyl-ether,5.896,708.69,-93.25,275.15,353.15
222,C5H12O,pentyl-alcohol,7.1776,1314.56,-104.99,310.15,411.15
223,C5H12O,tert-pentyl-alcohol,7.8753,1604.7,-64.99,328.15,406.15
224,C5H12S,butyl-methyl-sulfide,6.94583,1363.808,-61.076,290.15,423.15
225,C5H12S,ethyl-propyl-sulfide,6.9338,1341.57,-60.64,287.15,418.15
226,C5H12S,2-methyl-2-butanethiol,6.82837,1254.885,-54.391,270.15,398.15
227,C5H12S,1-pentanethiol,6.93311,1369.479,-61.836,293.15,426.15
228,C6CL6,hexachlorobenzene,9.78602,4597.57,82.811,387.15,582.15
229,C6F6,hexafluorobenzene,7.033,1227.98,-57.65,270.15,390.15
230,C6H4CL2,o-dichlorobenzene,7.0703,1649.55,-59.83,331.15,483.15
231,C6H4CL2,m-dichlorobenzene,7.3037,1782.4,-43.14,326.15,475.15
232,C6H4CL2,p-dichlorobenzene,6.998,1575.11,-64.63,327.15,477.15
233,C6H4F2,m-difluorobenzene,7.06582,1310.27,-50.57,309.15,387.15
234,C6H4F2,o-difluorobenzene,7.02031,1310.271,-50.563,304.15,403.15
235,C6H4F2,p-difluorobenzene,7.08812,1310.27,-50.57,307.15,385.15
236,C6H5BR,bromobenzene,6.8606,1438.82,-67.7,320.15,450.15
237,C6H5CL,chlorobenzene,6.9781,1431.05,-55.59,320.15,420.15
238,C6H5F,fluorobenzene,7.187,1381.83,-37.58,250.15,370.15
239,C6H5I,iodobenzene,7.0119,1640.13,-64.37,290.15,470.15
240,C6H6,benzene,6.90565,1211.033,-52.36,257.15,377.15
241,C6H6O,phenol,7.1345,1516.07,-98.58,345.15,481.15
242,C6H6S,benzenethiol,6.99019,1529.454,-70.102,325.15,471.15
243,C6H7N,2-picoline,7.0324,1415.73,-61.57,352.15,442.15
244,C6H7N,3-picoline,7.0502,1481.77,-61.94,347.15,458.15
245,C6H7N,aniline,7.2418,1675.3,-73.14,340.15,500.15
246,C6H10,1-hexyne,6.91212,1194.6,-48.15,265.15,391.15
247,C6H10,cyclohexene,6.8724,1221.9,-49.97,300.15,360.15
248,C6H10,1-methylcyclopentene,6.86884,1199.6,-48.15,268.15,403.15
249,C6H10,3-methylcyclopentene,6.87259,1165.6,-46.15,263.15,392.15
250,C6H10,4-methylcyclopentene,6.87015,1197.6,-48.15,271.15,403.15
251,C6H10O,cyclohexanone,6.97851,1495.58,-63.591,363.15,439.15
252,C6H12,1-hexene,6.86572,1152.971,-47.301,244.15,360.15
253,C6H12,"2-hexene,cis",7.03805,1258.571,-39.299,248.15,365.15
254,C6H12,"2-hexene,trans",6.89342,1173.343,-48.62,248.15,364.15
255,C6H12,"3-hexene,cis",6.87854,1164.134,-48.401,246.15,363.15
256,C6H12,"3-hexene,trans",6.9178,1180.707,-47.766,247.15,363.15
257,C6H12,2-methyl-1-pentene,6.8503,1138.516,-48.446,243.15,358.15
258,C6H12,3-methyl-1-pentene,6.75523,1086.316,-46.946,236.15,350.15
259,C6H12,4-methyl-1-pentene,6.83529,1121.302,-43.463,235.15,350.15
260,C6H12,2-methyl-2-pentene,6.92367,1183.837,-47.636,247.15,363.15
261,C6H12,"3-methyl-2-pentene,cis",6.91073,1186.402,-46.454,247.15,364.15
262,C6H12,"3-methyl-2-pentene,trans",6.92634,1194.527,-48.317,250.15,367.15
263,C6H12,"4-methyl-2-pentene,cis",6.84129,1120.707,-46.564,238.15,352.15
264,C6H12,"4-methyl-2-pentene,trans",6.8803,1142.874,-46.007,240.15,354.15
265,C6H12,2-ethyl-1-butene,6.99712,1218.352,-41.85,245.15,361.15
266,C6H12,"2,3-dimethyl-1-butene",6.86236,1134.675,-43.783,237.15,351.15
267,C6H12,"3,3-dimethyl-1-butene",6.67751,1010.516,-48.241,226.15,337.15
268,C6H12,"2,3-dimethyl-2-butene",6.95058,1215.428,-47.707,252.15,370.15
269,C6H12,cyclohexane,6.8413,1201.531,-50.503,279.15,378.15
270,C6H12,methylcyclopentane,6.86283,1186.059,-47.108,249.15,369.15
271,C6H12O,cyclohexanol,6.2553,912.87,-164.02,367.15,434.15
272,C6H12O,hexanal,6.71442,1316.0,-58.14,337.15,429.15
273,C6H12S,thiacycloheptane,6.90523,1422.47,-61.43,351.15,442.15
274,C6H14,c6,6.87024,1168.72,-48.94,248.15,365.15
275,C6H14,2-methylpentane,6.8391,1135.41,-46.578,241.15,356.15
276,C6H14,3-methylpentane,6.81887,1152.368,-46.021,244.15,362.15
277,C6H14,"2,2-dimethylbutane",6.75483,1081.176,-43.807,232.15,346.15
278,C6H14,"2,3-dimethylbutane",6.80983,1127.187,-44.25,238.15,354.15
279,C6H14O,propyl-ether,6.9476,1256.5,-54.15,299.15,362.15
280,C6H14O,isopropyl-ether,7.0971,1257.6,-43.14,249.15,364.15
281,C6H14O,hexyl-alcohol,7.8604,1761.26,-76.48,308.15,430.15
282,C6H14S,butyl-ethyl-sulfide,6.94102,1421.32,-67.34,306.15,445.15
283,C6H14S,isopropyl-sulfide,6.87118,1327.12,-60.6,286.15,420.15
284,C6H14S,methyl-pentyl-sulfide,7.11609,1413.44,-67.42,343.15,426.15
285,C6H14S,propyl-sulfide,6.93577,1413.44,-67.42,305.15,443.15
286,C6H14S,1-hexanethiol,6.94664,1454.004,-68.196,313.15,454.15
287,C6H14S2,propyl-disulfide,6.97529,1603.793,-77.302,346.15,499.15
288,C6H15N,triethylamine,6.8989,1251.8,-51.14,260.15,400.15
289,C7H5F3,"a,a,a-trifluorotoluene",6.97045,1306.35,-55.77,328.15,412.15
290,C7H5N,benzonitrile,7.72911,2110.572,-28.331,301.15,464.15
291,C7H6O2,benzoic-acid,7.454,1820.0,-125.19,405.15,560.15
292,C7H7F,p-fluorotoluene,6.99426,1374.055,-55.75,341.15,428.15
293,C7H8,toluene,6.95464,1344.8,-53.668,279.15,409.15
294,C7H8,"1,3,5-cycloheptatriene",6.97433,1376.84,-52.4,273.15,338.15
295,C7H8O,m-cresol,7.508,1856.36,-74.08,370.15,480.15
296,C7H8O,o-cresol,6.9117,1435.5,-107.99,370.15,480.15
297,C7H8O,p-cresol,7.0351,1511.08,-111.29,370.15,480.15
298,C7H12,1-heptyne,6.68593,1216.6,-53.15,287.15,415.15
299,C7H14,1-heptene,6.90069,1257.505,-53.971,267.15,391.15
300,C7H14,cycloheptane,6.8539,1331.57,-56.79,330.15,435.15
301,C7H14,ethylcyclopentane,6.88709,1298.599,-52.475,270.15,402.15
302,C7H14,"1,1-dimethylcyclopentane",6.81724,1219.474,-51.204,261.15,386.15
303,C7H14,"c-1,2-dimethylcyclopentane",6.85008,1269.14,-52.941,270.15,398.15
304,C7H14,"t-1,2-dimethylcyclopentane",6.84422,1242.748,-51.464,264.15,390.15
305,C7H14,"c-1,3-dimethylcyclopentane",6.83715,1237.456,-51.145,263.15,389.15
306,C7H14,"t-1,3-dimethylcyclopentane",6.83817,1240.023,-51.529,264.15,390.15
307,C7H14,methylcyclohexane,6.823,1270.763,-51.734,270.15,400.15
308,C7H14O,heptanal,5.47587,686.453,-161.333,285.15,428.15
