Name,Tc (K),Pc (atm),omega,Vc (cm^3/mol)
"n-pentadecylcyclopentane",780.3722222222223,10.13884860320747,0.8333,np.nan
"n-hexadecylcyclopentane",790.65,9.594480892968143,0.8607,np.nan
"cyclohexane",553.5388888888889,40.2151645939303,0.2144,np.nan
"methylcyclohexane",572.1888888888889,34.26114276318766,0.2333,np.nan
"ethylcyclohexane",609.2611111111112,29.940224063162994,0.2426,np.nan
"1,1-dimethylcyclohexane",590.9277777777777,29.25976442536384,0.2376,np.nan
"cis-1,2-dimethylcyclohexane",605.9277777777777,29.25976442536384,0.2363,np.nan
"trans-1,2-dimethylcyclohexane",595.9277777777777,29.25976442536384,0.2416,np.nan
"cis-1,3-dimethylcyclohexane",590.9277777777777,29.25976442536384,0.2237,np.nan
"trans-1,3-dimethylcyclohexane",598.15,29.25976442536384,0.1886,np.nan
"cis-1,4-dimethylcyciohexane",598.15,29.25976442536384,0.2338,np.nan
"trans-1,4-dimethylcyclohexane",589.8166666666666,29.25976442536384,0.2419,np.nan
"n-propylcyclohexane",639.2611111111112,27.701511854803762,0.2577,np.nan
"isopropylcyclohexane",639.8166666666666,28.000914095435398,0.2370,np.nan
"1,1,3-trimethylcyclohexane",612.0388888888889,26.599167241569123,0.1810,np.nan
"n-butylcyclohexane",667.0388888888889,31.097005447421566,0.3618,np.nan
"isobutylcyclohexane",658.7055555555555,30.79760320678994,0.3189,np.nan
"sec-butylcyclohexane",668.7055555555555,26.401833946607372,0.2643,np.nan
"tert-butylcyclohexane",659.2611111111112,26.347397175583442,0.2520,np.nan
"n-decylcyclohexane",750.3722222222223,13.405054864643432,0.5825,np.nan
"cycloheptane",589.2611111111112,36.74482044115459,0.3359,np.nan
"cyclooctane",618.15,34.02298188995795,0.4412,np.nan
"ethene",282.3611111111111,49.65994436658262,0.0856,np.nan
"ethylene",282.3611111111111,49.65994436658262,0.0856,np.nan
"propene",364.76111111111106,45.52274976876374,0.1477,np.nan
"1-butene",419.59444444444443,39.670796883690976,0.1874,np.nan
"cis-2-butene",435.5777777777778,41.5080379057487,0.2044,np.nan
"trans-2-butene",428.62777777777774,40.48734844904996,0.2138,np.nan
"2-methylpropene",417.9,39.46665899235123,0.1898,np.nan
"isobutylene",417.9,39.46665899235123,0.1898,np.nan
"1-pentene",464.77777777777777,40.14711863015038,0.2450,np.nan
"cis-2-pentene",475.9277777777778,36.064360803355434,0.2403,np.nan
"trans-2-pentene",475.3722222222222,36.064360803355434,0.2372,np.nan
"2-methyl-1-butene",465.3722222222222,34.02298188995795,0.2321,np.nan
"3-methyl-1-butene",450.3722222222222,34.703441527757114,0.2285,np.nan
"2-methyl-2-butene",470.3722222222222,34.02298188995795,0.2837,np.nan
"1-hexene",504.0277777777777,31.30114333876131,0.2848,np.nan
"cis-2-hexene",517.5944444444444,32.39668335561796,0.2555,np.nan
"trans-2-hexene",516.4833333333333,32.26059142805813,0.2421,np.nan
"cis-3-hexene",517.0388888888889,32.39668335561796,0.2254,np.nan
"trans-3-hexene",519.8722222222223,32.117694904120306,0.2273,np.nan
"2-methyl-2-pentene",517.5944444444444,32.39668335561796,0.2294,np.nan
"3-methyl-cis-2-pentene",517.5944444444444,32.39668335561796,0.2694,np.nan
"3-methyl-trans-2-pentene",521.4833333333333,32.49875230128784,0.2072,np.nan
"2,3-dimethyl-1-butene",500.9277777777778,32.00201676569445,0.2215,np.nan
"3,3-dimethyl-1-butene",490.3722222222222,31.097005447421566,0.1207,np.nan
"2,3-dimethyl-2-butene",524.2611111111111,33.199625728220965,0.2389,np.nan
"1-heptene",533.2888888888889,27.89884514976552,0.3580,np.nan
"4,4-dimethyl-1-pentene",526.4833333333333,28.198247390397153,0.1715,np.nan
"2,3,3-trimethyl-1-butene",532.5944444444444,28.59971857669866,0.1919,np.nan
"1-octene",566.65,25.85746623636804,0.3858,np.nan
"trans-2-octene",580.3722222222223,27.30004066850226,0.3500,np.nan
"1-nonene",592.0388888888889,23.135627685171404,0.4299,np.nan
"1-decene",614.8166666666666,21.774708409573087,0.4912,np.nan
"1-undecene",637.0388888888889,19.665283532395698,0.5180,np.nan
"1-dodecene",657.0388888888889,18.304364256797378,0.5575,np.nan
"1-tridecene",674.2611111111112,16.80735305363923,0.5981,np.nan
"1-tetradecene",689.2611111111112,15.44643377804091,0.6441,np.nan
"1-pentadecene",704.2611111111112,14.357698357562258,0.6822,np.nan
"1-hexadecene",717.0388888888889,13.200916973303686,0.7213,np.nan
"1-octadecene",739.2611111111112,11.29562998746604,0.8066,np.nan
"propadiene",393.15,53.960449277473316,0.3125,np.nan
"1,2-butadiene",443.7055555555555,44.43401434828509,0.3394,np.nan
"1,3-butadiene",425.3722222222222,42.73286525378719,0.1814,np.nan
"1,2-pentadiene",503.15,40.20155540117432,0.1725,np.nan
"1-cis-3-pentadiene",498.7055555555555,39.60275091991106,0.1834,np.nan
"1-trans-3-pentadiene",496.48333333333335,39.39861302857131,0.1754,np.nan
"1,4-pentadiene",477.59444444444443,37.39806169344178,0.1038,np.nan
"2-methyl-1,3-butadiene",484.26111111111106,37.99686617470504,0.1642,np.nan
